filename;date;text;poison
JR_151088_4.txt;15/10/1888;"Dr Boss



You have not found me yet I have done another one and thrown it in the river and I mean doing another one before the weeks out. You can put as many bloodhounds as you like but you will never catch me



Yours Truly



Jack Ripper";X
MC_151088.txt;15/10/1888;"Dear Sir, - If the Bradford Police would like to make another gallant capture now is the time. I have arrived in town for the purpose of doing a little business. Bradford is the field that requires my labour. Of course knowing as I do that your men are so clever it is not necessary to give my address nor yet describe myself minutely. I will simply state that I am here and alone quite near to the Town Hall.



I am, my dear sir, yours in the fight against wickedness.



J. Ripper



P.S. - Perhaps you would like my portrait, but you see I am in deep mourning for those ladies that I put to sleep, and do not wish to have one taken.";
JR_161088.txt;16/10/1888;"Oct 18th 1888

Albany Road



Sir,



Look out to night for me in the neighbourhood of London Road they are some hot ones there if these fogs continue What a chance I shall have I am getting tired of my rest and I want to get to work again I shall not write any-more. Yours truly



J the R";X
MC_161088.txt;16/10/1888;"Bradford, Oct. 15th 1888.

Sir, - Would you permit me through the medium of your valueable paper to announce my arrival in Bradford. I would have wired you but you see the people would have gone to trouble and expence in order to receive me kindly, particularly the gaurdians of the peace; however, I shall start work as soon as possible as I have other engagements immediately that I finish here. Of course I have informed the Chief Constable by Letter of my presence in town but I forgot to send my card with name and address so that He might know where to call when having a desire to see me, poor dear old Bobbies how very clevar they are not so clever as my humble self, hoping that you will give this publication



I am 



Dear Sir yours Etc.



J. Ripper";
UNK_161088 - FROM HELL.txt;16/10/1888;"From hell



Mr Lusk



Sor



I send you half the Kidne I took from one women prasarved it for you tother piece I fried and ate it was very nise I may send you the bloody knif that took it out if you only wate a whil longer



signed



Catch me when you Can



Mishter Lusk.";
JR_171088.txt;17/10/1888;"PS-



If you have not gone... you soon will [illegible] You old [?] Funker [?]



Yours Truly Jack the Ripper



I will do you Next";
JR_171088_2.txt;17/10/1888;"Dear Parkin,



Having not seen you for a long time I'm coming to see you, getting tired of Whitechapel I thought it best to give this town a turn and I think you will suit my purpose a treat meet me at Thornton Heath Friday night at 8 oclock if you fail you will be a dead un. Beware



Yours Truly



Jack the Ripper



[reverse, stain] This is blood from the woman I done in Mitre Square I might have some of yours";X
JR_181088.txt;18/10/1888;"To City Dedective. from the old Jewry - to day was wasting his time at Johnsons' Gracechurch St looking at articles for today sale silks particular & under garments - we do not pay our rate for the kind of thing - tall - fine - tall hat with band up - dark hair & Countenance also one

in the fact & I may add he parts his hair behind also - Jack the Ripper";
AA_191088.txt;19/10/1888;"19th Oct 1888



Sir,



The crime committed In Mitre Square City and those in the district of Whitechapel were perpetrated by an Ex Police Constable of the Metropolitan Police who was dismissed the force through certain connection with a prostitute The motive for the crimes is hatred and spite against the authorities at Scotland Yard one of whom is marked as a victim after which the crimes will cease



Yours truly



An Accessory";
JJ_191088.txt;19/10/1888;"Wouster Oct. 19 1888



Dear boss iff you are the boss you have not got the right man 100 miles off scent bloodhounds no use will not catch me have been in Wouster a week have spotted 3 out will visit them again shortley dont know much about this part off too Brum to-day



Post this on me way, hope I shall have luck there The Atmosphere was to hot at Whitechapel had to clear off smelt a rat saw last victim burried I felt rather down hearted over my knife which I lost comming here must get one to night. I shall kill 15 at Brum call and settle 3 I have spotted at Wouster Ishall then finish up at Hull before going to Poland.



Silly looking in low lodging houses for me do not vissit them description posted at Ploice stations nothing like me look out for Octer. 27th at Brum will give them ripper.



Jack a poland Jew Better known as Jack the ripper



A drop of Strides Blood";x
JR_191088.txt;19/10/1888;Please send 1 Bottell Whiskey I intend to murder one in Dublin to night Grand job I made of the last. Don't forget to meet me in Patrick st. J the R Yours truly Jack the Ripper;x
JR_191088_2.txt;19/10/1888;"Central news office



I was very glad to hear that you have go the Kidney and the next thing i send it will be the knife and the next murder I do I will cut the womens pratt ... Right out . . . send to you and Charles Warren will send the Bloodhounds out and then they wont catch me



Jack the Ripper";
